"Code","Class","Brand","Description","SourceFile"
"B0068","B","BMW","ISO/SAE Reserved","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B0069","B","BMW","ISO/SAE Reserved","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B006A","B","BMW","ISO/SAE Reserved","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B006B","B","BMW","ISO/SAE Reserved","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B006C","B","BMW","ISO/SAE Reserved","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B006D","B","BMW","ISO/SAE Reserved","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B006E","B","BMW","ISO/SAE Reserved","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B006F","B","BMW","ISO/SAE Reserved","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B0073","B","BMW","Second Row Left Seatbelt Pretensioner Deployment Control (Subfault)","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B0075","B","BMW","Second Row Right Seatbelt Pretensioner Deployment Control (Subfault)","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B0076","B","BMW","Third Row Left Seatbelt Pretensioner Deployment Control (Subfault)","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B007A","B","BMW","Passenger Seatbelt Pretensioner ""B"" Deployment Control (Subfault)","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B007B","B","BMW","Second Row Left Seatbelt Pretensioner ""B"" Deployment Control (Subfault)","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B007C","B","BMW","Second Row Right Seatbelt Pretensioner ""B"" Deployment Control (Subfault)","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B007D","B","BMW","Second Row Center Seatbelt Pretensioner ""B"" Deployment Control (Subfault)","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B0089","B","BMW","ISO/SAE Reserved","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B008A","B","BMW","ISO/SAE Reserved","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B008B","B","BMW","ISO/SAE Reserved","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B008C","B","BMW","ISO/SAE Reserved","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B008D","B","BMW","ISO/SAE Reserved","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B008E","B","BMW","ISO/SAE Reserved","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B008F","B","BMW","ISO/SAE Reserved","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B0090","B","BMW","Left Frontal Restraints Sensor (Subfault)","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B0091","B","BMW","Left Side Restraints Sensor 1 (Subfault)","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B0092","B","BMW","Left Side Restraints Sensor 2 (Subfault)","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B0093","B","BMW","Left Side Restraints Sensor 3 (Subfault)","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B009B","B","BMW","Left Side Restraints Sensor 5 (Subfault)","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B009C","B","BMW","Left Side Restraints Sensor 6 (Subfault)","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B009E","B","BMW","Right Side Restraints Sensor 5 (Subfault)","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B00A1","B","BMW","Occupant Position System (Subfault)","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B00A2","B","BMW","ISO/SAE Reserved","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B00A3","B","BMW","ISO/SAE Reserved","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B00A4","B","BMW","ISO/SAE Reserved","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B00A5","B","BMW","ISO/SAE Reserved","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B00A6","B","BMW","ISO/SAE Reserved","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B00A7","B","BMW","ISO/SAE Reserved","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B00A8","B","BMW","ISO/SAE Reserved","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B00A9","B","BMW","ISO/SAE Reserved","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B00AA","B","BMW","ISO/SAE Reserved","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B00AB","B","BMW","ISO/SAE Reserved","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B00AC","B","BMW","ISO/SAE Reserved","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B00AD","B","BMW","ISO/SAE Reserved","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B00AE","B","BMW","ISO/SAE Reserved","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B00AF","B","BMW","ISO/SAE Reserved","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B00B0","B","BMW","Driver Seat Occupant Classification Sensor ""A"" (Subfault)","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B00B1","B","BMW","Driver Seat Occupant Classification Sensor ""B"" (Subfault)","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B00B2","B","BMW","Driver Seat Occupant Classification Sensor ""C"" (Subfault)","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B00B3","B","BMW","Driver Seat Occupant Classification Sensor ""D"" (Subfault)","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B00B4","B","BMW","Driver Seat Occupant Classification Sensor ""E"" (Subfault)","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
"B00B6","B","BMW","Driver Seat Recline Position Restraints Sensor (Subfault)","base\All BMW OBD2 Codes List (7)\All BMW OBD2 Codes List - Nieizviestnyi.txt"
